ID	Length	E-value	% Identity
sp|P02024.2|	147	3.38e-45	100.00%
sp|P68871.2|	147	3.49e-45	100.00%
sp|P02025.1|	146	2.06e-44	100.00%
sp|P19885.2|	147	6.78e-44	95.65%
sp|P68222.2|	147	1.01e-43	95.65%
sp|P02032.1|	146	1.60e-43	97.06%
sp|Q6WN28.3|	147	4.46e-43	97.10%
sp|P02044.3|	147	4.87e-43	95.65%
sp|P02042.2|	147	7.07e-43	94.20%
sp|P61772.2|	147	7.38e-43	94.20%
sp|Q6WN22.3|	147	7.55e-43	95.65%
sp|P02028.1|	146	7.73e-43	95.59%
sp|Q9TSP1.2|	147	1.11e-42	94.20%
sp|P68232.2|	147	1.21e-42	95.65%
sp|P08259.1|	146	2.39e-42	94.12%
sp|P02026.1|	146	2.58e-42	94.12%
sp|P67821.3|	147	2.78e-42	94.20%
sp|Q6WN27.3|	147	3.27e-42	94.20%
sp|Q6WN25.3|	147	3.90e-42	94.20%
sp|P18985.1|	146	3.91e-42	97.06%
sp|P02031.1|	146	4.36e-42	95.59%
sp|P02040.1|	146	4.51e-42	95.59%
sp|P02055.1|	146	4.66e-42	94.12%
sp|P15449.1|	146	5.14e-42	94.12%
sp|P23602.1|	146	5.20e-42	94.12%
sp|Q6WN21.3|	147	6.24e-42	94.20%
sp|Q6WN29.3|	147	6.59e-42	94.20%
sp|P02033.1|	146	7.54e-42	94.12%
sp|P02030.1|	146	1.05e-41	94.12%
sp|Q6WN26.3|	147	1.10e-41	92.75%
sp|P68052.1|	146	1.22e-41	94.12%
sp|P68046.1|	146	1.87e-41	92.65%
sp|P67822.1|	146	2.16e-41	94.12%
sp|P02039.1|	146	2.60e-41	94.12%
sp|P19886.2|	147	3.12e-41	91.30%
sp|P10893.1|	146	3.31e-41	92.65%
sp|P33499.1|	146	3.57e-41	95.59%
sp|P02049.1|	146	3.98e-41	94.12%
sp|P09909.1|	146	4.85e-41	92.65%
sp|P02029.1|	146	4.90e-41	92.65%
sp|Q03902.2|	147	5.57e-41	89.86%
sp|P15166.1|	146	5.71e-41	91.18%
sp|P02036.2|	147	6.64e-41	91.30%
sp|P02035.1|	146	8.11e-41	92.65%
sp|P18983.2|	147	9.85e-41	91.30%
sp|Q5XLE5.3|	147	1.14e-40	91.30%
sp|P26916.1|	146	1.76e-40	91.18%
sp|P68054.1|	146	2.01e-40	92.65%
sp|P02057.2|	147	2.36e-40	89.86%
sp|P08535.2|	147	2.58e-40	91.30%
sp|P68044.1|	146	3.15e-40	91.18%
sp|P02050.1|	146	3.19e-40	89.71%
sp|P21201.1|	146	3.67e-40	91.18%
sp|P18982.1|	146	4.10e-40	91.18%
sp|Q6WN20.3|	147	5.25e-40	91.30%
sp|P02038.1|	146	6.35e-40	91.18%
sp|P02067.3|	147	7.14e-40	89.86%
sp|P68015.1|	146	7.56e-40	92.65%
sp|P02048.1|	146	1.05e-39	91.18%
sp|P18984.1|	146	1.63e-39	91.18%
sp|P02046.1|	146	1.76e-39	91.18%
sp|P68014.1|	146	2.34e-39	91.18%
sp|P24660.1|	146	2.49e-39	89.71%
sp|P18989.1|	146	2.75e-39	88.24%
sp|P11752.1|	146	3.74e-39	88.24%
sp|P60524.1|	146	5.85e-39	88.24%
sp|P68011.1|	146	1.29e-38	88.24%
sp|P28781.1|	146	1.32e-38	88.24%
sp|P21667.1|	146	1.67e-38	87.88%
sp|P13557.2|	147	1.88e-38	86.96%
sp|P02047.1|	146	1.99e-38	89.71%
sp|P20855.1|	146	2.30e-38	88.24%
sp|P18990.1|	146	3.06e-38	89.71%
sp|P02054.1|	146	3.16e-38	87.88%
sp|Q7M2Y5.2|	147	3.96e-38	88.41%
sp|P18435.2|	147	5.09e-38	82.61%
sp|P67819.1|	145	5.60e-38	90.91%
sp|P04346.1|	145	6.04e-38	90.91%
sp|B3EWC8.1|	146	6.86e-38	86.76%
sp|P19016.1|	146	7.66e-38	88.24%
sp|P02051.1|	146	8.00e-38	86.76%
sp|P04245.1|	145	8.39e-38	90.91%
sp|P51438.2|	147	9.29e-38	79.71%
sp|P13558.2|	147	9.39e-38	85.51%
sp|P02070.1|	145	9.46e-38	90.91%
sp|O13071.3|	142	1.40e-37	78.26%
sp|D0VX08.1|	146	1.53e-37	86.76%
sp|B2KHZ4.1|	147	1.61e-37	86.96%
sp|P68087.2|	147	1.75e-37	86.96%
sp|P14388.1|	146	2.21e-37	88.24%
sp|P02102.2|	147	2.28e-37	81.16%
sp|P11754.1|	146	2.31e-37	86.76%
sp|B3EWE2.1|	146	2.36e-37	86.76%
sp|P51440.2|	147	2.87e-37	78.26%
sp|P02090.1|	146	2.94e-37	83.82%
sp|P02072.1|	145	2.95e-37	89.39%
sp|P68026.2|	147	3.13e-37	78.26%
sp|P68016.2|	147	3.31e-37	78.26%
sp|Q95190.3|	147	3.53e-37	79.71%
sp|Q28507.3|	147	3.61e-37	79.71%
sp|P18994.2|	147	3.61e-37	79.71%
sp|P02100.2|	147	4.44e-37	79.71%
sp|P14392.1|	146	4.81e-37	86.76%
sp|Q2KPA4.3|	147	4.90e-37	79.41%
sp|Q28775.3|	147	5.77e-37	78.26%
sp|P09840.1|	146	6.05e-37	83.82%
sp|Q7M3C2.1|	146	6.98e-37	86.36%
sp|P02101.3|	147	7.51e-37	78.26%
sp|P02058.1|	146	9.07e-37	85.29%
sp|P51441.2|	147	9.24e-37	76.81%
sp|Q28931.3|	147	9.76e-37	78.26%
sp|P51443.2|	147	1.19e-36	78.26%
sp|P02089.2|	147	1.19e-36	81.16%
sp|P09422.1|	145	1.46e-36	87.88%
sp|P81042.3|	147	1.60e-36	78.26%
sp|Q28338.3|	147	1.63e-36	79.71%
sp|P11758.1|	146	1.67e-36	85.29%
sp|P68028.2|	147	1.84e-36	76.81%
sp|Q95238.3|	147	1.84e-36	78.26%
sp|Q45XH7.3|	147	1.94e-36	76.81%
sp|Q28496.3|	147	2.03e-36	79.71%
sp|Q2KPA3.3|	147	2.05e-36	82.35%
sp|P02088.2|	147	2.12e-36	79.71%
sp|P04246.1|	146	2.22e-36	79.41%
sp|P08225.2|	147	2.34e-36	78.26%
sp|P09907.1|	146	2.65e-36	86.76%
sp|P02110.2|	147	2.91e-36	82.61%
sp|P11756.1|	146	3.33e-36	85.29%
sp|P09905.1|	146	3.45e-36	83.82%
sp|P02059.1|	146	3.45e-36	83.82%
sp|P19760.3|	147	4.23e-36	78.26%
sp|P08224.2|	147	4.51e-36	78.26%
sp|P02060.1|	146	4.94e-36	83.82%
sp|P19759.2|	147	5.09e-36	76.81%
sp|P02091.3|	147	5.87e-36	79.71%
sp|Q29415.3|	147	6.33e-36	76.81%
sp|P51442.2|	147	7.79e-36	76.81%
sp|Q45XH8.2|	147	1.04e-35	75.36%
sp|P02053.2|	147	1.06e-35	81.16%
sp|P41328.1|	146	1.10e-35	84.85%
sp|P68230.2|	147	1.17e-35	82.61%
sp|P02103.2|	147	1.22e-35	75.36%
sp|Q28356.3|	147	1.33e-35	76.81%
sp|O77655.3|	147	1.41e-35	76.81%
sp|B3EWD0.1|	146	1.51e-35	82.35%
sp|P02061.1|	146	1.72e-35	82.09%
sp|P02081.1|	145	1.80e-35	83.33%
sp|P08223.2|	147	1.89e-35	76.81%
sp|B3EWD2.1|	146	2.00e-35	80.88%
sp|P18436.2|	148	2.01e-35	76.81%
sp|Q28220.3|	147	2.13e-35	75.36%
sp|P04244.2|	147	2.57e-35	79.71%
sp|P02111.1|	146	2.94e-35	82.35%
sp|P18986.1|	146	3.21e-35	84.85%
sp|P07412.1|	146	3.35e-35	84.85%
sp|Q45XH5.3|	147	5.00e-35	73.91%
sp|Q45XH3.3|	147	5.76e-35	76.81%
sp|P02075.2|	145	5.87e-35	84.85%
sp|P02062.1|	146	6.74e-35	83.82%
sp|P02066.1|	146	6.74e-35	85.29%
sp|P67823.1|	146	7.28e-35	83.82%
sp|P23020.1|	146	7.36e-35	84.85%
sp|P02073.1|	145	9.93e-35	84.85%
sp|Q45XI8.3|	147	1.04e-34	78.26%
sp|P02086.1|	146	1.06e-34	82.35%
sp|P61948.2|	147	1.29e-34	75.36%
sp|P19646.1|	146	1.36e-34	83.33%
sp|P68226.2|	147	1.41e-34	81.16%
sp|B3EWE4.1|	146	1.50e-34	79.41%
sp|P02104.2|	147	1.51e-34	75.36%
sp|P02094.2|	147	2.28e-34	78.26%
sp|P02064.1|	146	2.89e-34	83.82%
sp|Q45XH6.3|	147	3.00e-34	73.91%
sp|P02077.1|	145	3.34e-34	83.33%
sp|P02076.1|	145	3.65e-34	83.33%
sp|P02052.1|	146	4.10e-34	76.47%
sp|Q28779.3|	147	4.12e-34	73.91%
sp|P61920.2|	147	4.12e-34	73.91%
sp|P69891.3|	147	4.26e-34	73.91%
sp|P02087.3|	147	4.26e-34	79.71%
sp|P61947.2|	147	4.31e-34	73.91%
sp|P68077.2|	147	4.31e-34	73.91%
sp|P02074.1|	145	4.39e-34	83.33%
sp|P18995.2|	147	4.45e-34	73.91%
sp|P61921.2|	147	4.60e-34	73.91%
sp|P62741.2|	147	4.60e-34	73.91%
sp|P68048.2|	147	5.48e-34	78.26%
sp|Q9GLX4.3|	147	6.38e-34	73.91%
sp|P11025.2|	147	6.89e-34	73.91%
sp|P07415.1|	146	7.80e-34	77.94%
sp|P68030.2|	147	8.39e-34	73.91%
sp|P14526.3|	147	8.67e-34	78.26%
sp|P68068.2|	147	9.06e-34	73.91%
sp|P02097.1|	146	9.50e-34	74.63%
sp|P11517.2|	147	1.07e-33	73.91%
sp|P56285.2|	147	1.10e-33	73.91%
sp|Q45XI7.3|	147	1.11e-33	78.26%
sp|P68050.1|	146	1.24e-33	80.30%
sp|P68064.2|	147	1.46e-33	78.26%
sp|P18988.2|	146	1.49e-33	80.30%
sp|P68065.1|	146	1.49e-33	80.30%
sp|P02065.1|	146	1.73e-33	80.88%
sp|B3EWE0.1|	146	1.75e-33	77.94%
sp|P29626.2|	147	1.78e-33	68.12%
sp|P02082.1|	145	1.88e-33	78.79%
sp|P21380.1|	145	2.07e-33	80.30%
sp|P04443.5|	147	2.19e-33	68.12%
sp|P02105.2|	147	2.22e-33	72.46%
sp|B3EWD6.1|	146	2.25e-33	79.41%
sp|P02083.1|	145	2.50e-33	78.79%
sp|Q27940.3|	147	2.92e-33	72.46%
sp|P18996.3|	147	3.15e-33	71.01%
sp|P06643.2|	147	3.18e-33	72.46%
sp|P68257.2|	147	3.40e-33	72.46%
sp|P68256.2|	147	3.44e-33	72.46%
sp|P02093.2|	146	3.64e-33	76.47%
sp|P10061.1|	146	4.44e-33	75.00%
sp|Q9GJS7.3|	147	4.51e-33	72.46%
sp|P02128.2|	147	4.98e-33	69.57%
sp|P02112.2|	147	9.39e-33	72.46%
sp|P07410.1|	146	1.03e-32	75.00%
sp|P02099.2|	147	1.13e-32	72.46%
sp|P02127.2|	147	1.36e-32	68.12%
sp|Q6H1U7.3|	147	1.62e-32	72.46%
sp|P02107.1|	146	2.12e-32	73.53%
sp|P84792.2|	147	2.15e-32	71.01%
sp|P83123.3|	147	2.25e-32	72.46%
sp|B3EWD8.1|	146	2.94e-32	76.47%
sp|P04444.3|	147	3.12e-32	66.67%
sp|P02109.3|	147	3.26e-32	72.46%
sp|P14260.2|	147	3.48e-32	71.01%
sp|P02114.2|	147	3.48e-32	71.01%
sp|P07406.1|	146	3.69e-32	75.00%
sp|P14524.1|	146	4.08e-32	75.00%
sp|Q98905.3|	147	5.95e-32	71.01%
sp|P10058.1|	146	6.74e-32	70.59%
sp|P08853.1|	146	9.15e-32	72.06%
sp|P22742.1|	146	9.35e-32	72.06%
sp|P02106.1|	146	1.09e-31	72.06%
sp|P18707.1|	146	1.24e-31	75.00%
sp|P02095.1|	146	1.42e-31	73.53%
sp|P09421.1|	146	1.45e-31	73.53%
sp|B3EWD4.1|	146	1.78e-31	76.47%
sp|P02126.1|	146	1.94e-31	73.53%
sp|P68944.1|	146	2.24e-31	70.59%
sp|P30893.1|	146	2.50e-31	70.59%
sp|P02116.1|	146	2.61e-31	70.59%
sp|P07411.1|	146	2.98e-31	70.59%
sp|P02122.1|	146	3.14e-31	70.59%
sp|P02121.1|	146	3.28e-31	69.12%
sp|P02115.1|	146	3.47e-31	70.59%
sp|P68061.1|	146	3.87e-31	70.59%
sp|Q45XI9.3|	147	3.98e-31	75.36%
sp|P02117.1|	146	6.05e-31	69.12%
sp|P02118.1|	146	6.12e-31	69.12%
sp|P82113.1|	146	7.61e-31	69.12%
sp|P02113.1|	146	8.58e-31	69.12%
sp|P80216.1|	146	9.07e-31	70.59%
sp|P07036.1|	146	9.68e-31	70.59%
sp|P21668.1|	146	1.30e-30	70.59%
sp|P14261.2|	147	1.78e-30	66.67%
sp|Q45XJ0.3|	147	2.16e-30	73.91%
sp|P10782.1|	146	2.20e-30	70.59%
sp|P02124.1|	146	3.29e-30	69.12%
sp|P02120.1|	146	3.44e-30	67.65%
sp|P02084.1|	146	3.59e-30	75.00%
sp|P08261.1|	146	3.87e-30	69.12%
sp|P02125.1|	146	4.14e-30	70.59%
sp|P68056.2|	142	4.81e-30	80.33%
sp|P68057.1|	141	5.11e-30	80.33%
sp|P68058.1|	141	5.11e-30	80.33%
sp|P02108.1|	146	7.88e-30	66.18%
sp|P13274.1|	146	9.18e-30	66.18%
sp|Q45XI5.3|	147	9.64e-30	68.12%
sp|P11342.1|	146	9.69e-30	67.65%
sp|Q45XI4.3|	147	1.27e-29	68.12%
sp|Q7LZB9.1|	146	1.27e-29	67.65%
sp|P83133.1|	146	1.29e-29	69.12%
sp|P02078.2|	142	1.40e-29	78.69%
sp|P16418.1|	146	1.60e-29	69.12%
sp|P02085.1|	146	1.83e-29	73.53%
sp|P02123.1|	146	3.12e-29	66.18%
sp|P06642.2|	147	3.24e-29	66.67%
sp|P15165.1|	146	3.51e-29	69.12%
sp|Q28932.3|	147	5.35e-29	65.22%
sp|P10060.1|	146	5.50e-29	67.65%
sp|P24292.1|	146	6.26e-29	69.12%
sp|P02133.2|	147	1.14e-28	66.67%
sp|P08851.1|	146	1.81e-28	67.65%
sp|Q90485.3|	148	1.85e-28	59.42%
sp|Q45XI6.3|	147	1.90e-28	65.22%
sp|Q90486.3|	148	1.91e-28	59.42%
sp|P02136.2|	147	3.38e-28	62.32%
sp|P02080.1|	141	5.29e-28	64.52%
sp|P02142.1|	146	6.33e-28	64.71%
sp|P02139.1|	147	6.65e-28	65.67%
sp|P86391.1|	146	7.46e-28	64.71%
sp|P0C0U8.1|	146	9.07e-28	66.18%
sp|P02137.2|	147	9.42e-28	63.77%
sp|P41332.1|	146	1.31e-27	66.18%
sp|P08423.2|	147	4.53e-27	63.77%
sp|P86390.1|	146	6.25e-27	64.71%
